,review rating,review title,review content
0,1,Don't buy these,"I have had these for about 2 days now and they are already lost. I want to start out by saying that I take extremely good care of my hardware, buying something expensive matters to me so I always take the time to treat my electronics properly. That being said, if you drop these from standing height, the case is going to open when it hits the ground. Yesterday, I had a scare where the case fell out of my pocket and the buds went flying. I found them, but this time I wasn't so lucky. The awkwardly shaped case is prone to slipping out of my pocket, which it did, and the buds shot out again but I had no clue where they went. I am extremely disappointed and have now wasted $100 because a protective case couldn't do its job."
1,2,"Great headphones, but didn't deliver on the killer feature","I'll be honest, I _want to like these headphones_. The audio is amazing, the headphones are comfortable, the battery life is good, the case charging them is great, the touch features are intuitive and everything is well with the world.Except for the 60 ms delay claim. That's why I bought these -- with the 3.5 mm headphone jack becoming an endangered species gaming on android in public with sound just hasn't been viable. Bluetooth audio lag is totally unacceptable for gaming. When I got these the first thing I did was pair them with my Razer phone 2 and fired up d-touch (a doom port) and there was no discernable difference between gaming mode and non gaming mode.Unfortunately I'm going to have to return these. I really do enjoy them for music and audio where a/v sync isn't important, but given they can't deliver the killer feature they promised, I kind of have to return them on principle and stick with my cheaper set of skull candies."
2,3,Good quality sound with some interesting and almost poor design choices.,"I've gone through about 3 bluetooth earbuds this month, mind of testing some out. Two of them being 30 dollar pairs and this one being 100. So I'll kind of go over comparing these to cheaper alternatives.Pros:Good sound quality compared to cheaper designs. There are nice highs and solid bass. They aren't as bassy as some might prefer but the sound quality is definitely not lacking.Very easy and intuitive pairing compared to some. You don't have to pair each earbud or do any janky swapping to use only one earbud at a time, you just open the case up, pair them and then you're good to go for either side.Easy control scheme, first set that I didn't have to read the manual to figure out how to switch songs. (some BTs use some weird control schemes)Slim case that doesn't feel like a burden to carry in my pocket.The passive noise cancelation is nice and helps block out some of the noise. There are definitely better noise canceling headphones but these aren't awful for the price.Cons:Terrible button for controls. Idk why they decided to use a touch control on the earbuds with no feedback. Often I find myself having to continuously feel for the sweet spot to be able to pause or unpause my songs.Lower battery life. 3 hour life with only 12 hour charging from the case. (but that's probably because of the smaller casing)No RGB. Like come on Razer.Terrible connection when put in my pocket. Can't even walk around with my phone in pocket without losing all connection.So-So:The gaming mode has only made a slight change in the games I've tested. I know that's the main draw of these, so I was kind of bummed to find that it really only helped in certain games and didn't seem like it made all that much of an impact. I could see a difference in Mario kart, but in COD: mobile there was barely any difference in latency. I'm not sure if its because of my phone or not though. I have to confirm if my phone has Bluetooth 5.0, which might be leading factor in why I get no benefit. If I can find a phone with 5.0 BT I'll probably update this.The design of the earbuds is kind of odd to me. If you don't like gummies you'll probably enjoy it more than me. However, if you have a small ear, you will not find these comfortable. They sit flush in your ear but I found them hard to stay in without a lot of adjusting and sometimes they started to hurt the cartlidge above my ear.Overall, I've enjoyed the sound quality and the easy of use they provide, but in terms of price to performance, there are definitely better and cheaper alternatives. The gaming mode in theory is a great idea, but if you don't have a 5.0 BT device, I'd avoid these. I like them enough for a 4 star review but if there was a 3.5 I'd probably put them there."
3,5,Excellent sound quality!!,"I absolutely love these earphones! They look great and they sound great! The 13mm drivers definitely deliver clean, clear, and crisp sound with deep satisfying bass! Pairing was easy and I like how they auto connect. The volume was kinda low at first which was really weird. The volume was maxed out on my phone and they barely got loud enough. I almost returned them but then I reconnected them and now they can get beyond loud enough. I listen to them set at 50%. It only happened the very first time I connected them. The connection is good. Only a few times where they started to cut out on me but most of the time it's a solid connection. They are very similar to airpods. They just sit in ur ear and don't actually go into the ear canal which is great becuz I can wear them for a lot longer without getting fatigue but then again becuz of their design they're not really noise isolating. I think that's a good thing tho becuz I like to where them at work and still be able to hear my co workers and customers around me. The case definitely isn't the greatest.. Honestly it feels kinda cheap and it scratches easily and it is very slick too. Also the right earbud goes on the left side which was weird at first but now I prefer the cross draw. The touch controls are capacitive which is okay but I prefer physical button. I have many headphones and these are one of my favorites due to the fact the sound quality is excellent! Totally worth it and highly recommended."
4,5,Affordable and Balanced Media Headphones,"I already have a pair of $350 Sony Noise cancelling headphones that I use during flights, but I was looking for something that I can simply wear during long walks that are sweat resistant.  These are the perfect complement to my iPhone 11 ProThese are not the best for just  Audio, but balanced more than enough to justify their price tag.1. Audio is good. 4/52. Sweat resistant3. The gaming more actually works pretty well. Low latency is amazing, even a plus when watching video. The audio actually matches the lips of the actors.4. Comfortable  during an hour walk. 4/5 and a good seal.5. Treble is good, nice details. Mids are good. Footsteps and gunshots are easy to hear. Not bass heavy. Mic is above average. Overall, extremely balanced."
5,1,Don't buy these it's a disappointment,This isn't worth near $100 this is literal crap feels like a Chinese clone. Connection is so bipolar I can have my phone 4 inches away and it will still disconnect within a minute after connecting. These headphones don't fit in your ear and they end up hurting your ears after like an hour of use and the gummies don't help at all they even make it worse since it's cheap. The charging case is also of the cheapest material it may look nice but once you have it in your hands you can tell on the spot. The quality of the sound is great so much more bass than airpods but most of the time you will just be listening to any song or audio just being butchered because of how bad the connection is. I love razer and their products but this seems as a cash grab.
6,2,Gaming Mode isn't good enough,"I bought these because my favorite game on Android is Thumper, which as a rythm game is extremely latency sensitive. i had been using a pair of galaxy buds occasionally and Thumper was unplayable with them compared to any of my wired buds.So i bought the Hammerhead True Wireless because they are advertised as having much lower latency. unfortunately, however lower the ""Gaming Mode"" latency is than the galaxy buds for instance it's still way too high latency. the audio cues in-game that are before actions on wired headphones are after the actions need to be done even in ""Gaming Mode"" on the Hammerhead True Wireless. They're just not good enough for gaming.connection drops do happen often enough that it's an annoyance but not often enough that I can't actually use them, and sometimes they can go hours without a hitch.As for sound quality, the mids are very forward in a fun sort of way, and the bass is surprisingly full for a non-sealed bud, but there's totally real pierce on the highs, and as for the bass, while it's not muddy at all it's boomy. and the slight quiet hiss many bt earbuds have is here too. not the worst i've heard, but not really good per se.my dissatisfaction isn't really about the sound quality, Razer isn't a audiophile company, the sound is fine for what it is, my disappointment is based on the fact that the reason i bought them, and the thing they are marketed on, being low enough latency for gaming, they just are not at all good enough at."
7,3,"Great price, decent sound quality, horrible microphone","I purchased the Hammerhead True Wireless for a few key reasons.  I wanted no wires, at least 4 hours of music/talk time, and decent audio fidelity (as measured by airpods as a baseline).Likes:- No wires!- Decent sound quality for small earbuds, bass included. Sound slightly better than airpods, mids are fantastic, and bass is reasonable.- Plenty loud, go too loud in my opinion.- Battery life: I'm getting ~5 hours- Black color is nice alternative to the Apple white.- Comfortable enough- $99 price is attractiveWhat's OK:- Touch controls.  nice to have them but they are also finicky.  At times i experience delayed response to touch input. Play/pause isn't just a tap, there is a required dwell time so it's more like touch and hold for 1 sec vs. Tap to pause.  I end up fumbling with it when i want to pause and end up skipping tracks.  Muscle memory should help over time.-  Did some research on gaming mode and sounds like more of a gimmick.  Haven't tried it yet personally so jury is still out.Dislikes:- Plastic for the case and earbuds is below typical Razer quality.  Looks cheap, feels cheap. I expected at least the charging case to be anodized aluminum.- Don't always stay in my ears well because the cheap plastic is slippery. They are slightly textured in comparison to Airpods smooth premium plastic. Its counter-intuitive but the smoother airpod plastic grabs and stays put much better.- Microphone is virtually useless.  On test calls and test audio recordings the mic picked up background noise better than my voice.  TV on low  in the background, 10 feet away, and you could hear the broadcast word for word while my voice wasn't always clear. There is no way i could take a phone call in a noisy environment or attempt to use these for conference calls.  If this is a ""for gamers, by gamers"" product they obviously didn't test this in a live voice chat scenario.  During PC gaming the mic would pick up each keystroke and mouse click. Hoping they push a firmware update to address the poor mic quality. if not, i'll probably have to return and stick with the pixel buds which have great sound quality, battery life, and a stupid cord."
8,2,Any sudden moves and they fall right out of your ears.,"The silicone sleeves that come in the box do nothing. I wanted a pair of earbuds to run in. The second I started running, the left earbud flew off my head. After it skidded across a length of road, the plastic had a few ugly nicks in it. I popped it back in and made sure it was situated nice and snug, and then took off running again and the right earbud fell out. This time I was expecting it, so I caught it and then carefully walked back to my house to get a beanie to pull over my ears so these headphones would stay in. Before getting that beanie out of my closet I wrote this review, during which time one earbud or the other would start falling out of my ear if I swallowed or moved my jaw in a certain way. That wasn't a joke, it literally happened. It's a shame, because I wanted to like these. They both look and sound fine, which is more than you can say for 90% of the other wireless earbuds out there right now. And before you write off this review because you think my ears are enormous, I've been wearing wired earbuds my whole life without a problem. Unfortunately, these earbuds are just not quite good enough. Maybe they'll get it right if they make Hammerheads 2."
9,5,Enjoying the  Hammerheads....But!!!,So far enjoying them I wish there was a volume for the headphones on themselves it fits my ears pretty good hey don't fall off they feel pretty secure and come with this two little rubber tips sleeves in case you want to put them on the headphones to Fill more secure but so far  they sound good but I did notice that they don't sound too loud on my LG thin Q7 phone but they sound a lot more louder on my old Samsung Galaxy Edge 7 phone but overall they sound good in both phones
10,1,I've bought Razer countless times but man did they mess up,"These are the worst airpod rip offs I've used hands down. Coming from airpods g1 and the soundcore liberty airs g1, the wireless hammerheads are a travesty of wasted potential. It has THE cheapest plastic on the market used for the case, that's understandable I guess. But they don't stop there, they use the SAME plastic for the actual headphones it's disgusting. The headphones are so quiet I can't hear any music in public. As an avid fan of Razer products this is just disappointed on levels I didn't believe this company can reach"
11,4,Great quality sound & battery but low volume.,"Personally use them for the gym and when taking walks in public. The connectivity is awsome, they pair up as soon as you take them out the case. The sound quality is also really clear and won't be disappointed. The case battery life is also pretty good and percentage on my phone is accurate.Cons: Apart from not having noise cancelling, which I don't mind, I definitely did not like the low volume. It's just loud enough to hear everything but you have something loud going on in your environment like the gym and wish that you could increase it by 2 or 3 levels.Always been happy with most Razer products but I honestly wouldn't recommend these if you want loud music you can emerse yourself into.Hopefully these get a firmware update where they increase the volume and have an actual equalizer in there app because it's really basic."
12,3,My honest opinion,"These are good Earbuds, however there are a few things I think are important before buying. First and most importantly the reason im contemplating sending these back. These are not very comfortable earbuds, they're a lot bigger than most earbuds (at least what im used too from apple) so after about an hour of wearing they start to really hurt your ears. My other biggest issue is the touch on them feels really inconsistent. One tap for pause, double tap for song skip, triple for replay. I could tap them twice for a song skip and theyll pause or i could tap them once for a pause and ill get nothing. The touch feels really bad on these. The sound is amazing, i will say they're some of the loudest and best noise canceling earbuds ive ever used, although the noise cancellation is only noticeable because you're over powering everything around you with the level of sound they can produce, which is good i suppose. The other issue I have is that they dont have a way to adjust volume wirelessly. So in order to do that you'd need to have whatever device they're connected within in arms reach, which to me seems a little counter intuitive. They have pretty decent range, I work in a warehouse with a lot of walls, sometimes i try and leave my phone in a room and walk outside whilst listening to whatever it may be and they'll cut out. The range is okay, but youll need to be in the same room to use them effectively. Ive not yet used them with games, but i think the level of sound they can produce as i mentioned eariler would make them pretty good actually.  The battery, and honestly i haven't purchased a lot of airpods but from what i know vs my friends pairs. These last quite a bit longer, But it could be due to the fact that my are recently purchased. Id trust them for at least 4-5 hours. Overall great earbuds, I didnt shop around much but if i could the only reason id buy a different set is if they had a way to adjust volume on the earbud itself and if the touch responses worked better. If you can find something cheaper with better reviews, id purchase those vs these."
13,5,LITERALLY BUY THEM NOW,"I haven't been much of a Razer fan really, but once I bought their phone, I started to realize that the company's no joke, however when i purchased these earbuds... I thought the company could travel time travel, because WOW these sound brilliant.All jokes aside, if you are looking into buying premium flagship wireless, that deliver everything you need in an affordable price these are PERFECT. They have excellent bass, and with razer's Dolby Atmos App, it works even better. There is a great balance between the high's mid's and low's, the connection is as smooth and as fast as I thought it would be, and the response time without ""gaming mode"" is exactly like airpods, so when ""gaming mode"" is enabled, it's super fast. And I do have to say the click to the case is pretty damn satisfying. Of course these don't have  noise cancelling, but when the volume is even at medium almost all of the excess noise is removed, besides like standing next to a train of course (however if you are in that situation, just turn the volume almost all the way up).CONCLUSION:These are the BEST and most trustworthy $100 wireless earbuds out right now (by reliable brand). So pick these up for luxurious sound quality and elegant everything."
14,2,Will stop playing if overwhelmed,"I love razer products, I use their mamba wireless mouse, huntsman elite keyboard, and even the orbweaver chroma and I love all these products. That being said, I cannot recommend these earbuds.Pros- gaming mode works incredibly, almost no lag- the touch settings are easy enough to use, but aren't so sensitive I set them off every time I adjust the earbuds.- They pair and connect the second the case is opened.Cons- uncomfortable in my ear. I kind of have smaller ears, so when I smile or laugh while wearing these it really hurts.- the battery life is kind of short on gaming mode, only lasts a few hours and might left earbud always dies before I even get a low battery warning in the right earbud.- the mic on these are absolutely terrible and ultimately is just a waste of hardware space.- wherever the audio is quite I can hear the device itself making noise in the right earbud which is very distracting.- MOST IMPORTANTLY it seems that when there are multiple different loud sounds, they just stop working for a couple seconds? The audio will cut out and I can't hear anything for about 2 seconds. This will happen every few minutes and for earbuds oriented towards gaming, that is terrible. I play Rainbow Six Siege a lot by the way, and this is where I experience this problem consistently.Overall the sound is decent, pretty uncomfortable, gaming mode works and is very nice, but the frequency of the audio cutting out and the electronic grinding like sounds in the right earbud are terrible. Stray away from this razer product."
15,5,I recommend these!,These are not extremely comfortable but I decided I don't care because they sound so good.  I listened to videos I've already watched and heard so many new things!  I haven't tried a lot of buds but I'm willing to bet these are the best for the price.  The only thing difference for the extra $100 dollars on the others is wireless charge case but I don't consider that essential.  They even work separately which is awesome for battery life although the best sound is with both in.  I recommend these. They look cool too.
16,5,Great Earbuds,"I've been using these for a little bit over a month and they have been really good. When I first got them they were amazing, the sound quality was great and the range was crazy. I gave one to my friend while we were in a Walmart so we could both listen to music and she went about 2-3 aisles away from me and she said the song didn't drop out at all. That was using an S8+ and I did notice some dropping when I would leave my phone upstairs when I would just go downstairs for a second but since then I've gotten a OnePlus 7 Pro and I can go anywhere in my house with my phone in my room and it doesn't drop at all, so I guess that is more based on your phone than the headphones. Sound quality is great though and the only thing I could think of to make them better is if they could go in the shower safely."
17,5,On Point,"These are perfect for me. I had apple earbuds prior to these.  I like these better. They can not connect to multiple devices at the same time.  Also note IF YOU ARE A GAMER, Bluetooth (any version) does not work with games and discord (or any other voice comms program) at the same time as a game because of a windows limitation currently. So if you use a side app for communications while playing with friends I would not suggest these as a solution.  Bass is good, sound clarity is good, no noticeable latency.  Battery life is more than enough and I listen to audio books all the time and use them to talk on the phone."
18,5,Pleasantly surprised,"I am admittedly a massive Razer fan. I was in the market for a small pair of earbuds so I didn't have to pack up a pair of over ear headphones when I wanted to go mobile. I had tried some competitive wired earbuds, but couldn't ever seem to find a pair that fit and were comfortable. I didn't expect any ear buds to match a good pair of headphones in performance. Wow, was I pleasantly surprised to find these wireless buds that fit so well and sound so good right out of the box. Noise cancellation would have been a bonus, but at the price, these are a no brainer for people looking for an air pods like experience for Android."
19,5,Get your money's worth!,"Althought people have gone pretty hard about the battery life and the sound quality I personally have enjoyed this earbuds since my day of purchase. I drive for a living and have never had a problem with them running out of battery. They don't hurt and the price couldn've been better. I there was some companion app to download but so far i haven't found one so i can mess around with the EQ. The noise cancelation is good, but not the best. Overall I would highly recommend this product and if you have any questions feel free to ask."
20,2,Decent battery life and sound quality but mired by poor connection issues,"The connection on these earbuds are quite bad. Even if I have my phone in my hand in front of my face, a simple slight turn of my head will result in these earbuds disconnecting and stuttering. Also, these earbuds are very temperamental even with putting my phone in my front pocket. Battery life is decent for their size, but I can't recommend since they stutter with the most generous of scenarios and in common usage."
21,5,A sound system!,"Working great, and he doesn’t answer me when I ask him questions so the noise canceling must be working! Ha! And he hasn’t lost them yet, yay!"
22,3,Razer true wireless earbuds,Pros:  The sound quality is great the best bass I've heard in wireless earbuds. The battery life is on par with other wireless ear buds. I like how compact the case is and all the multi touch options it has compared to other earbuds.Cons:  The rubber ear tips that come with the buds don't stay on very well. After long periods of listening to the buds it would hurt my ears with or with out the rubber tips.
23,2,Sound quality is great when you play games solely.,A decent product. It would be better if the sound enhancements worked overall and not just for games. It would be a sweet pair of headphones if there were sound adjustment options like treble and bass but it's ok. A decent pair but a overall miss.
24,2,"I'm glad I got them on sale, because they don't hold up","I bought this in conjunction with my razer phone. It has a realistic Bluetooth range of like 10 feet, and doesn't work at all if your phone is in your pocket. If you're running, or there's even a slight breeze, they drop connection. They sounded great for a few days, but then the volume dropped so much that if someone has a conversation in the same room I can't hear my music. The function keys either don't work, or they perform the wrong function."
25,5,Great for the price!,"Let me preface by saying that these sounds absolutely incredible! They sound better then the standard headphones that apple products come with, that is for sure! A lot of people on here are complaining about the build quality of the case but i honestly don't think its that bad, im also looking into buying a silicone case just for an extra layer of protection :). Hands down worth the money!"
26,1,"Not worth the price, Galaxy Buds are better.","They have good battery life, and sound quality. BUT it still isn't worth the price tag. The case quality is very cheap, they don't fit well in the ears, and the touch sensor on the side isn't very responsive."
27,4,"Does what I need, but not what I want.",I use these every day but will probably get the Pixel Buds 2 once they are out for the better assistant integration.
28,5,Great Earbuds,"I am really enjoying these earbuds. I use them almost everyday. When I'm running, doing dishes, or at work. These are my favorite earbuds and I'll probably buy another pair I can leave at my desk at work because I hate the days I leave them at home on accident."
29,1,poor sound,"it wasn't the sound i was seeking. too low, not enough bass."
