,Review Title,Review Rating,Review Content
0,"A solid, functional wireless earbud",5,"I'm coming from using first-gen AirPods so I have limited experience with these types of products.These feel and sound amazing. I tried using Amazon Echo Buds but had to gift them to my wife, as the inner-ear style just doesn't work well for me.These feel like the traditional AirPods style in the ear. Obviously some people like that and others do not but I prefer them.Pairing is easy, as you just tap and hold into pairing mode. You can also pair them while they're in the case.I tested gaming mode both on my laptop and on my mobile device (Android) and it worked flawlessly. No issues with desynced audio or any type of distortion. To activate gaming mode, you tap three times and hold on the third. You do the same to disengage it.I'm impressed with the case. It's quite different than what the AirPods use. Has a charging light indicator. I REALLY like how it's a USB-C port. One thing that's included is a strap that attaches to the side... it's not something I thought I wanted in a carrying / charging case until I have it.Haven't had enough time to really get into battery. I know based on specs it's a bit lower than some competing products... time will tell through every day use. Will update this review based on usage.There you have it! Solid, functional wireless earbuds in an AirPods style that costs a fair amount less. Five stars for now!"
1,Awful Bluetooth connection,1,"As some one who almost solely uses Razer products I had high hopes for these and was so excited to get them. I had the hammerhead BT and love those but these are just not up to par at all. I could never have a consistent connection. As soon as I put my phone in my pocket, they would cut in and out every second."
2,Gaming Mode Works,5,"These are now my main headphones that I will carry on me daily. I also own Jabra 65t Elite. I almost didn't buy these because on paper the 65t should be superior but me being a big fan or Razer, I just had to try these. I'll let others talk about audio quality since I'm not an audiophile and music playback is good enough for me. I want to share a specific use case of mineThe game mode works. I paired it with the HomeSpot Bluetooth adapter for Nintendo Switch and with game mode disabled, it has the same lag that I get with the Jabra 65t Elite. Turning on game mode, it is pretty much lag free. Don't know how they did it because the HomeSpot adapter says it is connected with SBC codec (which has the most delay compared to aptX and aptX-LL). Played Overwatch and it was like I had wired headphones plugged in. I don't own an aptX headset so can't compare with that.I also took an unexpected phone call while using these at the grocery store this weekend. The person on the other line didn't complain about not hearing me or background noise. I actually get the opposite experience with my Jabra 65t Elite so I stopped using them for phone calls. I don't intend to use these as a main headset to take calls, but it is nice knowing that I could. (if it means anything, I use the OG Razer Phone)Also wanted to add that charging via USB-C is another reason the Jabra 65t is getting replaced as my daily one. I can finally stop carrying a micro-usb cord with me.The only ""weird"" thing I can think of is how you put the right ear piece in the left side of the carrying case and the left ear piece in the right side. It was weird to me at first, but I can see why they did it. Thinking if it was done the ""correct"" way with the same orientation, If you imagine holding the carrying case with your left hand to grab the right ear piece, you'd have to flip the ear piece in your fingers/hand before inserting into right ear. With how it is now, you don't have to do thatThe 65t will still have its uses for me. Because of its in-ear design, I'll keep using it for the superior noise cancellation when I want it (like when during work outside of the house and working out at the gym)"
3,Solid deal,5,"I always liked the sound profile from Razer after their first gen Kraken headphones. They didn’t claim the battery life of the earbuds themselves and I watched one review saying it’s 3 hours, from my testing it’s longer than 3, not too sure how long longer than 3 since I don’t wear them for that long every session. The lag is definitely really low, fit is great too. The biggest for these are probably the position of the microphones. Also they’re omnidirectional and no mentioning of noise cancelling, it basically picks up your voice and everyone else’s. I really like the case design though I wish they used their flagship CNC aluminum :p"
4,I really wanted to love these,3,"Let me start off by saying I'm a huge Razer fan. I was excited to get these as soon as they were available. All until i pulled the earbuds out of the box. The earbuds and case feel like cheap plastic. The plastic isn't seamless. The touch function doesn't always register the first. Usually takes a few tries. No premium feel at all which is disappointing. Not worth the $99 price tag. The sounds is actually pretty good. Plenty of bass. I'll hold onto them for a little while longer, but will most likely be returning them."
5,Very satisfied so far!,5,"Everything I expected and not a single issue so far. They paired quick and easy; I had zero hassel. Touch controls work exactly per instructions. The sound is great. The range is great. I feel immersed watching videos on my phone. I tested streaming video and music and I didn't notice any lag. I haven't tested games or the game mode function or battery life yet. But, I've been very pleased with them right out of the box."
6,Not bad but not great.,3,"The case holds the right ear bud on the left side and the left on the right, really???  What smart engineer came up with that one, and how did it get through design???  Overall they look good, comfortable, but sound mediocre."
7,Incredible so far!,5,"So far so good! Been using them for a little over an hour, I compare them to my AirPods and I honestly like these better. They fee a lot lighter and I like all the gestures that come with it too, on top of that they sound incredible!! The bass in it is awesome. Sounds just like my other razer headphones. Quick to connect and easy to use app."
8,was excited till i used them....,1,"The sound is an improvement over the older hammerhead BT headphones but... The touch controls are tough to use. I mean it took me serval tries to get this into gaming mode or to even pause. Its like the buds would get confused and would turn off while tring to pause. maybe I am just not used to such controls. This is just my experience thus far. Then there is the connections. On my phone the razer phone 2. the connections is solid while my phone is out say on a table or right in front of my while playing a game. Once my phone goes into  my pocket (pants pocket, jacket chest pocket, or even my backpack) the buds will have trouble keeping connection making listening to anything choppy. This same choppy connection I do experience while on my 2019 razer blade stealth... while its right in front of my. Now I own other Bluetooth headphones. Bose sound sport. the older hammerhead bt and an even older razer BT headphones (sorry I forget the name) and NONE of those have had any choppy connection problems like these buds."
9,Super happy with these. Comfortable and they Sound Great ... let me explain,5,"I originally learned about these Razer earbuds on a review from Chrome Unboxed YouTube channel. The guy there was impressed with the sound quality.I ordered a set from Amazon Warehouse (cuz I'm kinda cheap) and they arrived fast. Had to charge them up overnight, then got them paired after doing a firmware update (get the Razer Hammerhead app for your phone).Now brace yourselves, because I'm the kind of guy that is OK with Apple's wired earpods. I'm OK with the Apple-style fit, which these Hammerheads have. But the Hammerheads are way more comfortable. I've been wearing them on and off most of the day, and I don't have any discomfort or fatigue. The little stem thing sits nicely so these stay in my ears well. Very happy with the fit. Also they are black so they blend in a bit more than the bright white Airpods.And now the sound. I was quite pleasantly surprised. I messed with the EQ settings available in the Hammerhead app. But I didn't need to change the EQ. They sound great ""flat"" right out of the box. (I actually didn't care for the two EQ settings included in the app.)The sound is clear, balanced, the bass is very present but NOT hyped. Currently listening to Come Together by the Beatles. Paul's bass is very present but not overpowering, Ringo's bass drum thumps just a little bit (which is good for an old recording). I put on some Switchfoot and found the highs to be just a little bright, not terrible though. I had to back off the volume a bit. That could be the mix though, they are rockers.I put on some old Joy Division, Herbie Hancock, Michael Hedges, Wings, Chicago Transit Authority.. everything faithfully reproduced by these headphones. (Is this Bluetooth? It sounds so clear.)But then... one of my favorite records. New Order's ""Technique."" Fine Time starts out the album with about 8 seconds of electronic hi-hat. I always have this album turned up too loud at the beginning because the hi-hat is turned down a bit, and then BoOm! the bass line kicks in. Wow. It sounds Great in these little buds. And the highs are snappy too.I know it's my first day, but these are fun little earbuds, and I'm going to be glad to be free of the wire on my old headphones.Now a few cons:Some have complained that the case is a little tricky to open. It is a little annoying, you have to look at the case to see which side opens, but it's not a big deal. Some have also complained that the buds go in the case backwards (right on the left and left on the right). I got used to it pretty quickly, no big deal.The touch controls are taking a little getting used to, and may just be the nature of wireless buds. I've never used Airpods so I can't compare. The single-touch to pause has to be a bit deliberate. I could get skip track and go-back-a-track to work fine. I do miss having a volume control on the buds (which I did on my wired buds). But since the Bluetooth range isn't super range-y, I'll probably have my phone close by anyway, so I guess I can live with that. (I live in a old fortress of a house, so 20 to 25 feet seems to be all I'm getting for range. But I usually keep my phone on hand.)You can summon Siri with a long press on one of the buds, there's a bit of a delay, but I don't use that often enough to worry about it. I was able to ask Siri to turn the volume up and down, so I guess I could do that instead of adjusting the volume on my phone.TL;drGreat buds. Very comfortable, nice balanced sound but with plenty of bass. Good price, especially if you don't need the super-advanced features of Airpods (such as touch volume controls or Hey Siri)"
